Time (min),Date,Number of words,Number of unknown words,Time tried,Player
1:27,11/29/2021,10,2,8:46,Julia
0:57,11/29/2021,10,1,12:06,Mike
0:48,11/30/2021,10,1,10:00,Julia
3:17,12/1/2021,10,3,19:09,Julia
1:03,12/2/2021,10,1,8:53,Julia
2:29,12/2/2021,10,0,10:07,Mike
0:55,12/3/2021,10,1,8:58,Julia
1:15,12/5/2021,10,2,9:24,Julia
1:48,12/6/2021,10,1,8:54,Julia
1:40,12/6/2021,10,0,16:52,Mike
6:53,12/7/2021,10,4,20:44,Julia
1:16,12/7/2021,10,0,20:44,Mike
1:26,12/8/2021,10,2,8:51,Julia
1:15,12/8/2021,10,0,4:26,Mike
1:43,12/9/2021,10,1,9:30,Julia
2:34,12/10/2021,10,1,8:45,Julia
3:38,12/11/2021,14,3,11:17,Julia
1:19,12/11/2021,14,1,10:00,Mike
1:47,12/12/2021,10,1,17:40,Julia
1:41,12/14/2021,10,0,16:20,Julia
0:31,12/14/2021,10,0,14:49,Mike
0:55,12/15/2021,10,0,10:22,Julia
1:34,12/16/2021,10,0,22:00,Dad
2:01,12/16/2021,10,0,13:22,Julia
1:18,12/16/2021,10,0,12:34,Mike
15:00,12/17/2021,17,0,22:00,Dad
1:10,12/17/2021,10,0,11:12,Julia
1:57,12/17/2021,10,0,9:42,Mike
0:54,12/18/2021,10,0,23:00,Dad
3:25,12/18/2021,17,3,12:32,Julia
0:16,12/19/2021,10,1,8:59,Julia
1:18,12/19/2021,10,0,8:47,Mike
0:59,12/21/2021,10,0,9:44,Julia
0:51,12/22/2021,10,0,20:00,Mike
1:05,12/24/2021,10,0,10:14,Julia
1:04,12/26/2021,10,0,17:39,Julia
0:40,12/28/2021,10,0,23:55,Dad
1:15,12/28/2021,10,0,8:58,Julia
0:31,12/29/2021,10,0,11:05,Julia
1:33,12/29/2021,10,0,11:45,Mike
1:00,12/30/2021,10,0,21:00,Dad
0:46,12/30/2021,10,0,9:09,Julia
0:41,12/30/2021,10,1,22:00,Julia
2:02,1/1/2022,10,0,17:05,Dad
4:07,1/1/2022,10,2,17:10,Julia
2:21,1/3/2022,10,1,9:00,Julia
0:48,1/3/2022,10,0,19:24,Julia
1:09,1/3/2022,10,0,13:00,Mike
1:07,1/3/2022,10,0,21:00,Mike
0:41,1/5/2022,10,0,10:56,Julia
0:37,1/5/2022,10,0,13:42,Mike
0:41,1/6/2022,10,0,0:27,Dad
0:39,1/6/2022,10,0,9:36,Mike
2:02,1/6/2022,10,1,10:07,Julia
2:23,1/7/2022,10,0,10:21,Julia
1:31,1/8/2022,10,1,19:41,Julia
1:55,1/8/2022,10,1,19:41,Mike
0:51,1/9/2022,10,0,19:07,Julia
3:58,1/11/2022,10,1,10:49,Julia
0:39,1/11/2022,10,1,21:42,Julia
1:20,1/11/2022,10,1,20:21,Mike
0:52,1/12/2022,10,0,12:17,Dad
2:21,1/13/2022,10,0,9:21,Julia
1:53,1/14/2022,10,0,9:00,Julia
2:04,1/16/2022,10,1,17:27,Julia
1:23,1/18/2022,10,0,8:50,Julia
0:48,1/19/2022,10,1,9:35,Julia
3:07,1/20/2022,10,0,10:24,Julia
4:34,1/21/2022,11,2,9:57,Julia
2:18,1/24/2022,10,1,8:47,Julia
2:31,1/25/2022,10,1,8:41,Julia
1:03,1/26/2022,10,2,9:53,Julia
2:56,1/27/2022,10,1,10:31,Julia
1:00,1/27/2022,10,0,11:50,Mike
0:42,1/28/2022,10,0,10:03,Julia
0:33,1/30/2022,10,1,17:15,Julia
0:55,1/31/2022,10,1,23:44,Julia
